"","gender","age","party","register","rate"
"1","Female","18-30","Liberal","No",3
"2","Female","< 18","Conservative","No",3
"3","Male","18-30","Conservative","Yes",3
"4","Male","< 18","Unsure","No",5
"5","Female","18-30","Conservative","No",3
"6","Male","18-30","Conservative","No",2
"7","Female","18-30","Liberal","Yes",5
"8","Male","< 18","Conservative","No",2
"9","Male","18-30","Other","No",4
"10","Female","18-30","NDP","No",4
"11","Male","18-30","Conservative","No",3
"12","Male","18-30","NDP","No",1
"13","Male","< 18","Liberal","Yes",1
"14","Female","18-30","Conservative","No",3
"15","Male","18-30","Liberal","Yes",3
"16","Female","18-30","NDP","Unsure",2
"17","Female","18-30","Liberal","No",5
"18","Female","18-30","Liberal","Yes",2
"19","Trans or Unisex","18-30","Other","No",5
"20","Male","18-30","NDP","No",5
"21","Male","18-30","Conservative","No",3
"22","Female","18-30","Other","No",5
"23","Female","18-30","Liberal","Yes",3
"24","Female","18-30","Liberal","Yes",3
"25","Male","18-30","Liberal","Unsure",3
"26","Male","18-30","Liberal","Yes",5
"27","Male","18-30","NDP","No",5
"28","Male","< 18","Unsure","No",3
"29","Female","18-30","NDP","No",3
"30","Female","18-30","Liberal","No",4
"31","Female","18-30","Liberal","No",2
"32","Female","18-30","Liberal","No",4
"33","Female","18-30","Conservative","No",3
"34","Female","18-30","Liberal","No",3
"35","Male","18-30","Liberal","No",3
"36","Male","18-30","Liberal","No",4
"37","Female","18-30","Liberal","Yes",3
"38","Female","< 18","Liberal","Yes",4
"39","Male","18-30","Liberal","No",0
"40","Male","18-30","Liberal","No",4
"41","Male","< 18","Liberal","No",3
"42","Male","18-30","Conservative","No",4
"43","Male","18-30","Other","No",3
"44","Female","18-30","Liberal","Yes",2
"45","Female","18-30","Other","No",3
"46","Male","18-30","Liberal","No",3
"47","Male","18-30","NDP","No",4
"48","Male","< 18","Liberal","Yes",3
"49","Female","18-30","NDP","No",3
"50","Male","< 18","Liberal","No",1
"51","Male","18-30","NDP","No",3
"52","Female","18-30","Other","No",2
"53","Male","18-30","Liberal","Yes",4
"54","Female","18-30","Conservative","No",3
"55","Female","18-30","Liberal","No",2
"56","Female","18-30","Liberal","Yes",4
"57","Female","18-30","NDP","No",1
"58","Male","18-30","Other","Yes",3
"59","Male","18-30","Liberal","No",3
"60","Male","18-30","Liberal","No",5
"61","Female","< 18","Conservative","No",3
"62","Male","< 18","Liberal","No",5
"63","Trans or Unisex","18-30","Liberal","No",4
"64","Male","< 18","Liberal","Yes",1
"65","Female","< 18","NDP","Yes",3
"66","Female","18-30","Conservative","No",3
"67","Male","18-30","Liberal","Unsure",2
"68","Male","< 18","Other","No",4
"69","Male","18-30","Green","No",4
"70","Male","< 18","Liberal","Yes",4
"71","Female","18-30","NDP","No",2
"72","Female","18-30","Conservative","Yes",5
"73","Male","18-30","NDP","Yes",4
"74","Male","18-30","Unsure","No",4
"75","Male","18-30","Conservative","Yes",3
"76","Female","< 18","Liberal","No",2
"77","Male","18-30","Liberal","No",4
"78","Female","< 18","Liberal","Yes",5
"79","Female","18-30","Green","No",4
"80","Female","18-30","Liberal","No",5
"81","Female","18-30","Other","No",4
"82","Male","< 18","Liberal","No",2
"83","Male","18-30","Unsure","No",4
"84","Male","18-30","NDP","No",2
"85","Male","18-30","Liberal","No",3
"86","Female","< 18","Other","No",5
"87","Female","< 18","Unsure","No",5
"88","Male","18-30","Other","Unsure",3
"89","Male","18-30","Unsure","Yes",2
"90","Female","18-30","Liberal","Yes",3
"91","Male","< 18","NDP","No",3
"92","Male","18-30","Conservative","No",5
"93","Female","18-30","Liberal","Yes",1
"94","Female","18-30","Liberal","No",5
"95","Male","18-30","Conservative","No",3
"96","Female","< 18","NDP","No",2
"97","Trans or Unisex","18-30","NDP","No",5
"98","Male","18-30","Unsure","No",1
"99","Male","18-30","Liberal","No",4
"100","Male","18-30","Conservative","Yes",2
"101","Female","18-30","Liberal","Yes",3
"102","Male","18-30","Conservative","Yes",4
"103","Male","18-30","NDP","Yes",5
